"","target","synset","pos","t","gold","X","ref","synset_def","synset_size","synset_words","wn_pos"
"1","awful","amazing.s.02","adj",1800,-1,26,"awing","inspiring awe or admiration or wonder",5,"amazing/awe-inspiring/awesome/awful/awing","s"
"2","awful","amazing.s.02","adj",1800,-1,23,"amazing","inspiring awe or admiration or wonder",5,"amazing/awe-inspiring/awesome/awful/awing","s"
"3","awful","amazing.s.02","adj",1800,-1,24,"awe-inspiring","inspiring awe or admiration or wonder",5,"amazing/awe-inspiring/awesome/awful/awing","s"
"4","awful","amazing.s.02","adj",1800,-1,25,"awesome","inspiring awe or admiration or wonder",5,"amazing/awe-inspiring/awesome/awful/awing","s"
"5","awful","atrocious.s.02","adj",1800,1,1,"atrocious","exceptionally bad or displeasing",7,"atrocious/abominable/awful/dreadful/painful/terrible/unspeakable","s"
"6","awful","atrocious.s.02","adj",1800,1,2,"abominable","exceptionally bad or displeasing",7,"atrocious/abominable/awful/dreadful/painful/terrible/unspeakable","s"
"7","awful","atrocious.s.02","adj",1800,1,3,"dreadful","exceptionally bad or displeasing",7,"atrocious/abominable/awful/dreadful/painful/terrible/unspeakable","s"
"8","awful","atrocious.s.02","adj",1800,1,4,"painful","exceptionally bad or displeasing",7,"atrocious/abominable/awful/dreadful/painful/terrible/unspeakable","s"
"9","awful","atrocious.s.02","adj",1800,1,5,"terrible","exceptionally bad or displeasing",7,"atrocious/abominable/awful/dreadful/painful/terrible/unspeakable","s"
"10","awful","atrocious.s.02","adj",1800,1,6,"unspeakable","exceptionally bad or displeasing",7,"atrocious/abominable/awful/dreadful/painful/terrible/unspeakable","s"
"11","awful","awed.s.01","adj",1800,-1,19,"awed","inspired by a feeling of fearful wonderment or reverence",2,"awed/awful","s"
"12","awful","awful.s.02","adj",1800,1,8,"direful","causing fear or dread or terror",12,"awful/dire/direful/dread/dreaded/dreadful/fearful/fearsome/frightening/horrendous/horrific/terrible","s"
"13","awful","awful.s.02","adj",1800,1,9,"dread","causing fear or dread or terror",12,"awful/dire/direful/dread/dreaded/dreadful/fearful/fearsome/frightening/horrendous/horrific/terrible","s"
"14","awful","awful.s.02","adj",1800,1,14,"frightening","causing fear or dread or terror",12,"awful/dire/direful/dread/dreaded/dreadful/fearful/fearsome/frightening/horrendous/horrific/terrible","s"
"15","awful","awful.s.02","adj",1800,1,7,"dire","causing fear or dread or terror",12,"awful/dire/direful/dread/dreaded/dreadful/fearful/fearsome/frightening/horrendous/horrific/terrible","s"
"16","awful","awful.s.02","adj",1800,1,16,"horrific","causing fear or dread or terror",12,"awful/dire/direful/dread/dreaded/dreadful/fearful/fearsome/frightening/horrendous/horrific/terrible","s"
"17","awful","awful.s.02","adj",1800,1,17,"terrible","causing fear or dread or terror",12,"awful/dire/direful/dread/dreaded/dreadful/fearful/fearsome/frightening/horrendous/horrific/terrible","s"
"18","awful","awful.s.02","adj",1800,1,13,"fearsome","causing fear or dread or terror",12,"awful/dire/direful/dread/dreaded/dreadful/fearful/fearsome/frightening/horrendous/horrific/terrible","s"
"19","awful","awful.s.02","adj",1800,1,15,"horrendous","causing fear or dread or terror",12,"awful/dire/direful/dread/dreaded/dreadful/fearful/fearsome/frightening/horrendous/horrific/terrible","s"
"20","awful","awful.s.02","adj",1800,1,11,"dreadful","causing fear or dread or terror",12,"awful/dire/direful/dread/dreaded/dreadful/fearful/fearsome/frightening/horrendous/horrific/terrible","s"
"21","awful","awful.s.02","adj",1800,1,12,"fearful","causing fear or dread or terror",12,"awful/dire/direful/dread/dreaded/dreadful/fearful/fearsome/frightening/horrendous/horrific/terrible","s"
"22","awful","awful.s.02","adj",1800,1,10,"dreaded","causing fear or dread or terror",12,"awful/dire/direful/dread/dreaded/dreadful/fearful/fearsome/frightening/horrendous/horrific/terrible","s"
