"","target","synset","t","ref","pos","ref.1","synset_size","synset_words","wn_pos","gold"
"1","awful","amazing.s.02",1800,"mess","adj",NA,5,"['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s",-1
"2","awful","amazing.s.02",1800,"impressive","adj",NA,5,"['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s",-1
"3","awful","amazing.s.02",1800,"disgusting","adj",NA,5,"['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s",-1
"4","awful","amazing.s.02",1800,"majestic","adj",NA,5,"['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s",-1
"5","awful","atrocious.s.02",1800,"disgusting","adj",NA,7,"['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s",1
"6","awful","atrocious.s.02",1800,"majestic","adj",NA,7,"['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s",1
"7","awful","atrocious.s.02",1800,"mess","adj",NA,7,"['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s",1
"8","awful","atrocious.s.02",1800,"impressive","adj",NA,7,"['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s",1
"9","awful","awed.s.01",1800,"disgusting","adj",NA,2,"['awed', 'awful']","s",-1
"10","awful","awed.s.01",1800,"mess","adj",NA,2,"['awed', 'awful']","s",-1
"11","awful","awed.s.01",1800,"impressive","adj",NA,2,"['awed', 'awful']","s",-1
"12","awful","awed.s.01",1800,"majestic","adj",NA,2,"['awed', 'awful']","s",-1
"13","awful","awful.s.02",1800,"mess","adj",NA,12,"['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s",1
"14","awful","awful.s.02",1800,"disgusting","adj",NA,12,"['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s",1
"15","awful","awful.s.02",1800,"majestic","adj",NA,12,"['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s",1
"16","awful","awful.s.02",1800,"impressive","adj",NA,12,"['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s",1
"17","awful","frightful.s.02",1800,"mess","adj",NA,4,"['frightful', 'terrible', 'awful', 'tremendous']","s",0
"18","awful","frightful.s.02",1800,"disgusting","adj",NA,4,"['frightful', 'terrible', 'awful', 'tremendous']","s",0
"19","awful","frightful.s.02",1800,"majestic","adj",NA,4,"['frightful', 'terrible', 'awful', 'tremendous']","s",0
"20","awful","frightful.s.02",1800,"impressive","adj",NA,4,"['frightful', 'terrible', 'awful', 'tremendous']","s",0
"21","awful","nasty.a.01",1800,"disgusting","adj",NA,2,"['nasty', 'awful']","a",1
