"","target","synset","t","correct_by_maxcorr","correct_by_minp","correct_by_majorityvote","correct_by_avg"
"amazing.s.02.awful.1800.-1",awful,amazing.s.02,1800,0,0,0,NA
"awed.s.01.awful.1800.-1",awful,awed.s.01,1800,NA,NA,NA,NA
"fatal.s.04.fatal.1800.-1",fatal,fatal.s.04,1800,NA,NA,NA,NA
"dainty.s.04.nice.1890.-1",nice,dainty.s.04,1890,0,0,0,NA
"decent.s.01.nice.1890.-1",nice,decent.s.01,1890,NA,NA,NA,NA
"nice.s.03.nice.1890.-1",nice,nice.s.03,1890,NA,NA,NA,NA
"brave.s.03.gay.1950.-1",gay,brave.s.03,1950,1,1,1,NA
"cheery.s.01.gay.1950.-1",gay,cheery.s.01,1950,NA,NA,NA,NA
"gay.s.02.gay.1950.-1",gay,gay.s.02,1950,1,1,1,1
"gay.s.05.gay.1950.-1",gay,gay.s.05,1950,1,1,1,NA
"atrocious.s.02.awful.1800.1",awful,atrocious.s.02,1800,0,0,0,0
"awful.s.02.awful.1800.1",awful,awful.s.02,1800,0,0,0,0
"nasty.a.01.awful.1800.1",awful,nasty.a.01,1800,NA,NA,NA,NA
"black.s.06.fatal.1800.1",fatal,black.s.06,1800,1,1,1,1
"guy.n.01.guy.1850.1",guy,guy.n.01,1850,1,1,1,NA
"call.v.03.call.1890.1",call,call.v.03,1890,1,1,1,1
"air.v.03.broadcast.1920.1",broadcast,air.v.03,1920,0,0,0,0
"phonograph_record.n.01.record.1920.1",record,phonograph_record.n.01,1920,1,1,1,1
"monitor.n.04.monitor.1930.1",monitor,monitor.n.04,1930,NA,NA,NA,NA
"gay.s.06.gay.1950.1",gay,gay.s.06,1950,0,0,0,NA
