"","ref","target","X","synset","t","pos","prov","syn_def","synset_size","synset_words","wn_pos","gold","freq.x","freq.y","target_centrality","ref_centrality","polysemy_target","polysemy_ref","correct","sig","p","corr"
"1","abominable","awful","6","atrocious.s.02","1800","adj","HW","exceptionally bad or displeasing","7","['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s","1","93562.5","6940.5","1","2","2","2",NA,NA,NA,NA
"2","air","broadcast","27","air.v.03","1920","v","HW","broadcast over the airwaves as in radio or television","5","['air', 'send', 'broadcast', 'beam', 'transmit']","v","1","87800.5","2810822.5","3","12","2","7","0","0","0.232935534650098","-0.476190476190476"
"3","amazing","awful","1","amazing.s.02","1800","adj","HW","inspiring awe or admiration or wonder","5","['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s","-1","93562.5","59999","6","4","2","2","0","1","7.07230300920426e-09","0.964285714285714"
"4","atrocious","awful","5","atrocious.s.02","1800","adj","HW","exceptionally bad or displeasing","7","['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s","1","93562.5","4477","1","2","2","3",NA,NA,NA,NA
"5","awe-inspiring","awful","2","amazing.s.02","1800","adj","HW","inspiring awe or admiration or wonder","5","['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s","-1","93562.5",NA,"6","1","2","1",NA,NA,NA,NA
"6","awed","awful","11","awed.s.01","1800","adj","HW","inspired by a feeling of fearful wonderment or reverence","2","['awed', 'awful']","s","-1","93562.5","7295","4","2","2","1","1","0","0.822505430203611","-0.0952380952380952"
"7","awesome","awful","3","amazing.s.02","1800","adj","HW","inspiring awe or admiration or wonder","5","['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s","-1","93562.5","7760","6","1","2","1",NA,NA,NA,NA
"8","awing","awful","4","amazing.s.02","1800","adj","HW","inspiring awe or admiration or wonder","5","['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s","-1","93562.5","60","6","2","2","1",NA,NA,NA,NA
"9","beam","broadcast","29","air.v.03","1920","v","HW","broadcast over the airwaves as in radio or television","5","['air', 'send', 'broadcast', 'beam', 'transmit']","v","1","87800.5","325178","3","11","2","6","0","0","0.492726245016957","-0.285714285714286"
"10","black","fatal","67","black.s.06","1800","adj","HW","of events having extremely unfortunate or dire consequences bringing ruin","5","['black', 'calamitous', 'disastrous', 'fatal', 'fateful']","s","1","109247.5","2750884.5","3","14","2","5","1","0","0.38697323683165","0.210526315789474"
"11","bozo","guy","89","guy.n.01","1850","n","HW","an informal term for a youth or man","4","['guy', 'cat', 'hombre', 'bozo']","n","1","271714","86.5","1","2","2","2",NA,NA,NA,NA
"12","brave","gay","73","brave.s.03","1950","adj","HW","brightly colored and showy","3","['brave', 'braw', 'gay']","s","-1","312219","107289.5","5","6","3","1","1","0","0.504631575468691","-0.4"
"13","braw","gay","74","brave.s.03","1950","adj","HW","brightly colored and showy","3","['brave', 'braw', 'gay']","s","-1","312219","330","5","1","3","1",NA,NA,NA,NA
"14","calamitous","fatal","68","black.s.06","1800","adj","HW","of events having extremely unfortunate or dire consequences bringing ruin","5","['black', 'calamitous', 'disastrous', 'fatal', 'fateful']","s","1","109247.5","2226","3","1","2","1",NA,NA,NA,NA
"15","call_up","call","44","call.v.03","1890","v","HW","get or try to get into communication with someone by telephone","5","['call', 'telephone', 'call_up', 'phone', 'ring']","v","1","2499700",NA,"16","3","20","2",NA,NA,NA,NA
"16","cat","guy","87","guy.n.01","1850","n","HW","an informal term for a youth or man","4","['guy', 'cat', 'hombre', 'bozo']","n","1","271714","241211.5","1","2","2","5","1","0","0.288169885875457","0.305494505494505"
"17","cheery","gay","75","cheery.s.01","1950","adj","HW","bright and pleasant promoting a feeling of cheer","3","['cheery', 'gay', 'sunny']","s","-1","312219","3117.5","2","1","3","1",NA,NA,NA,NA
"18","dainty","nice","103","dainty.s.04","1890","adj","HW","excessively fastidious and easily disgusted","5","['dainty', 'nice', 'overnice', 'prissy', 'squeamish']","s","-1","494997.5","4077","5","5","2","2","0","0","0.104088038661828","0.8"
"19","decent","nice","107","decent.s.01","1890","adj","HW","socially or conventionally correct refined or virtuous","2","['decent', 'nice']","s","-1","494997.5","80667.5","3","1","2","2","1","0","0.5926152128455","-0.181818181818182"
"20","dire","awful","12","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","36615.5","2","2","2","2","0","0","0.385120643556256","-0.357142857142857"
"21","direful","awful","13","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","688","2","1","2","1",NA,NA,NA,NA
"22","disastrous","fatal","69","black.s.06","1800","adj","HW","of events having extremely unfortunate or dire consequences bringing ruin","5","['black', 'calamitous', 'disastrous', 'fatal', 'fateful']","s","1","109247.5","42195.5","3","1","2","1","1","1","1.48598742055552e-05","0.836945304437564"
"23","disc","record","113","phonograph_record.n.01","1920","n","HW","sound recording consisting of a disk with a continuous groove used to reproduce music by rotating while a phonograph needle tracks in the groove","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5","69069.5","2","1","6","4","1","0","0.504631575468691","0.4"
"24","disk","record","112","phonograph_record.n.01","1920","n","HW","sound recording consisting of a disk with a continuous groove used to reproduce music by rotating while a phonograph needle tracks in the groove","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5","358551.5","2","3","6","2","1","0","0.104088038661828","0.8"
"25","dread","awful","14","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","45401","2","3","2","1","0","1","0.00144760805242461","-0.692466460268318"
"26","dreaded","awful","15","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","19008","2","2","2","1","1","1","0.0408334847820802","0.486068111455108"
"27","dreadful","awful","7","atrocious.s.02","1800","adj","HW","exceptionally bad or displeasing","7","['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s","1","93562.5","45108","1","2","2","3","0","1","3.04208052777716e-05","-0.820433436532508"
"28","dreadful","awful","16","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","45108","2","1","2","3","0","1","3.04208052777716e-05","-0.820433436532508"
"29","fateful","fatal","70","black.s.06","1800","adj","HW","of events having extremely unfortunate or dire consequences bringing ruin","5","['black', 'calamitous', 'disastrous', 'fatal', 'fateful']","s","1","109247.5","7626","3","3","2","4",NA,NA,NA,NA
"30","fateful","fatal","71","fatal.s.04","1800","adj","HW","controlled or decreed by fate predetermined","2","['fatal', 'fateful']","s","-1","109247.5","7626","4","4","2","4",NA,NA,NA,NA
"31","fearful","awful","17","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","44763","2","2","2","2","0","1","3.85441089174491e-06","-0.863777089783282"
"32","fearsome","awful","18","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","1168","2","1","2","1",NA,NA,NA,NA
"33","festal","gay","82","gay.s.05","1950","adj","HW","offering fun and gaiety","4","['gay', 'festal', 'festive', 'merry']","s","-1","312219","598","6","1","3","1",NA,NA,NA,NA
"34","festive","gay","83","gay.s.05","1950","adj","HW","offering fun and gaiety","4","['gay', 'festal', 'festive', 'merry']","s","-1","312219","5191.5","6","1","3","1",NA,NA,NA,NA
"35","frightening","awful","19","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","25222","2","4","2","1","1","0","0.156174927113702","0.657142857142857"
"36","hombre","guy","88","guy.n.01","1850","n","HW","an informal term for a youth or man","4","['guy', 'cat', 'hombre', 'bozo']","n","1","271714","1759.5","1","1","2","1",NA,NA,NA,NA
"37","homophile","gay","86","gay.s.06","1950","adj","HW","homosexual or arousing homosexual desires","3","['gay', 'queer', 'homophile']","s","1","312219","336.5","7","2","3","1",NA,NA,NA,NA
"38","horrendous","awful","20","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","1124.5","2","1","2","1",NA,NA,NA,NA
"39","horrific","awful","21","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","1114.5","2","2","2","2",NA,NA,NA,NA
"40","jocund","gay","77","gay.s.02","1950","adj","HW","full of or showing highspirited merriment","6","['gay', 'jocund', 'jolly', 'jovial', 'merry', 'mirthful']","s","-1","312219","704","3","1","3","1",NA,NA,NA,NA
"41","jolly","gay","78","gay.s.02","1950","adj","HW","full of or showing highspirited merriment","6","['gay', 'jocund', 'jolly', 'jovial', 'merry', 'mirthful']","s","-1","312219","15865","3","4","3","1","1","0","0.504631575468691","-0.4"
"42","jovial","gay","79","gay.s.02","1950","adj","HW","full of or showing highspirited merriment","6","['gay', 'jocund', 'jolly', 'jovial', 'merry', 'mirthful']","s","-1","312219","2497.5","3","1","3","1",NA,NA,NA,NA
"43","merry","gay","80","gay.s.02","1950","adj","HW","full of or showing highspirited merriment","6","['gay', 'jocund', 'jolly', 'jovial', 'merry', 'mirthful']","s","-1","312219","63273.5","3","1","3","3","1","0","0.623837664781073","-0.3"
"44","merry","gay","84","gay.s.05","1950","adj","HW","offering fun and gaiety","4","['gay', 'festal', 'festive', 'merry']","s","-1","312219","63273.5","6","2","3","3","1","0","0.623837664781073","-0.3"
"45","mirthful","gay","81","gay.s.02","1950","adj","HW","full of or showing highspirited merriment","6","['gay', 'jocund', 'jolly', 'jovial', 'merry', 'mirthful']","s","-1","312219","406.5","3","1","3","2",NA,NA,NA,NA
"46","monitoring_device","monitor","97","monitor.n.04","1930","n","HW","display produced by a device that takes signals and displays them on a television screen or a computer monitor","2","['monitor', 'monitoring_device']","n","1","213880",NA,"4","1","4","1",NA,NA,NA,NA
"47","nasty","awful","26","nasty.a.01","1800","adj","HW","offensive or even of persons malicious","2","['nasty', 'awful']","a","1","93562.5","23142.5","3","1","2","2","1","0","0.0599721424772553","0.612121212121212"
"48","overnice","nice","104","dainty.s.04","1890","adj","HW","excessively fastidious and easily disgusted","5","['dainty', 'nice', 'overnice', 'prissy', 'squeamish']","s","-1","494997.5","0","5","1","2","1",NA,NA,NA,NA
"49","painful","awful","8","atrocious.s.02","1800","adj","HW","exceptionally bad or displeasing","7","['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s","1","93562.5","155929.5","1","3","2","2","0","1","0.0180275933611375","-0.550051599587203"
"50","phone","call","45","call.v.03","1890","v","HW","get or try to get into communication with someone by telephone","5","['call', 'telephone', 'call_up', 'phone', 'ring']","v","1","2499700","832648.5","16","4","20","2","1","1","0.000204472406148833","0.915151515151515"
"51","phonograph_record","record","110","phonograph_record.n.01","1920","n","HW","sound recording consisting of a disk with a continuous groove used to reproduce music by rotating while a phonograph needle tracks in the groove","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5",NA,"2","1","6","1",NA,NA,NA,NA
"52","phonograph_recording","record","111","phonograph_record.n.01","1920","n","HW","sound recording consisting of a disk with a continuous groove used to reproduce music by rotating while a phonograph needle tracks in the groove","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5",NA,"2","1","6","1",NA,NA,NA,NA
