"","target","ref","t","gold","pos","correct","sig","p","corr"
"1","gay","homosexual","1950","1","adj",NA,NA,NA,NA
"2","gay","lesbian","1950","1","adj",NA,NA,NA,NA
"3","gay","happy","1950","-1","adj","1","1","0.0373860734684987","-0.9"
"4","gay","showy","1950","-1","adj",NA,NA,NA,NA
"5","fatal","illness","1800","1","adj","1","1","4.82799742504847e-06","0.859649122807018"
"6","fatal","lethal","1800","1","adj",NA,NA,NA,NA
"7","fatal","fate","1800","-1","adj","1","1","3.18868438419035e-05","-0.805263157894737"
"8","fatal","inevitable","1800","-1","adj","0","0","0.328004124360307","0.244582043343653"
"9","awful","disgusting","1800","1","adj","1","0","0.052181400457058","0.75"
"10","awful","mess","1800","1","adj","1","1","0.00562867700296756","0.696703296703297"
"11","awful","impressive","1800","-1","adj","1","1","0.00730426276898996","-0.625"
"12","awful","majestic","1800","-1","adj","1","0","0.137281623672781","-0.388235294117647"
"13","nice","pleasant","1890","1","adj","1","0","0.450036576888829","0.254545454545455"
"14","nice","lovely","1890","1","adj","1","0","0.355028439701507","0.309090909090909"
"15","nice","refined","1890","-1","adj","1","1","0.00845472888506159","-0.745454545454545"
"16","nice","dainty","1890","-1","adj","0","0","0.104088038661828","0.8"
"17","broadcast","transmit","1920","1","v",NA,NA,NA,NA
"18","broadcast","radio","1920","1","v","1","0","0.455644890737582","0.30952380952381"
"19","broadcast","scatter","1920","-1","v",NA,NA,NA,NA
"20","broadcast","seed","1920","-1","v","1","0","0.28940322484679","-0.428571428571429"
"21","monitor","display","1930","1","n","0","0","0.759945300218093","-0.142857142857143"
"22","monitor","screen","1930","1","n","1","1","0.0136973266153257","0.857142857142857"
"23","record","tape","1920","1","n","1","1","0.0149026676862301","0.80952380952381"
"24","record","album","1920","1","n",NA,NA,NA,NA
"25","guy","fellow","1850","1","n","1","1","0.0121442225731057","0.648351648351648"
"26","guy","man","1850","1","n","1","1","3.82969810544995e-05","0.876923076923077"
"27","call","phone","1890","1","v","1","1","0.000204472406148833","0.915151515151515"
"28","call","message","1890","1","v","1","1","0.00311042831038585","0.8"
