"","ref","target","X","synset","t","pos","prov","syn_def","synset_size","synset_words","wn_pos","gold","freq.x","freq.y","target_centrality","ref_centrality","polysemy_target","polysemy_ref","correct","sig","p","corr"
"1","abominable","awful","6","atrocious.s.02","1800","adj","HW","exceptionally bad or displeasing","7","['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s","1","93562.5","6940.5","1","2","2","2","1","1","0.00412987521032553","0.61203007518797"
"2","air","broadcast","27","air.v.03","1920","v","HW","broadcast over the airwaves as in radio or television","5","['air', 'send', 'broadcast', 'beam', 'transmit']","v","1","87800.5","2810822.5","3","12","2","7","1","0","0.0579903181645727","0.690476190476191"
"3","amazing","awful","1","amazing.s.02","1800","adj","HW","inspiring awe or admiration or wonder","5","['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s","-1","93562.5","59999","6","4","2","2","0","1","0.0012527491395979","0.669172932330827"
"4","atrocious","awful","5","atrocious.s.02","1800","adj","HW","exceptionally bad or displeasing","7","['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s","1","93562.5","4477","1","2","2","3","1","0","0.672556435485782","0.100751879699248"
"5","awe-inspiring","awful","2","amazing.s.02","1800","adj","HW","inspiring awe or admiration or wonder","5","['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s","-1","93562.5",NA,"6","1","2","1",NA,NA,NA,NA
"6","awed","awful","11","awed.s.01","1800","adj","HW","inspired by a feeling of fearful wonderment or reverence","2","['awed', 'awful']","s","-1","93562.5","7295","4","2","2","1","1","0","0.0793165853745336","-0.401503759398496"
"7","awesome","awful","3","amazing.s.02","1800","adj","HW","inspiring awe or admiration or wonder","5","['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s","-1","93562.5","7760","6","1","2","1",NA,NA,NA,NA
"8","awing","awful","4","amazing.s.02","1800","adj","HW","inspiring awe or admiration or wonder","5","['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s","-1","93562.5","60","6","2","2","1",NA,NA,NA,NA
"9","beam","broadcast","29","air.v.03","1920","v","HW","broadcast over the airwaves as in radio or television","5","['air', 'send', 'broadcast', 'beam', 'transmit']","v","1","87800.5","325178","3","11","2","6","0","0","0.530922861565801","-0.261904761904762"
"10","black","fatal","67","black.s.06","1800","adj","HW","of events having extremely unfortunate or dire consequences bringing ruin","5","['black', 'calamitous', 'disastrous', 'fatal', 'fateful']","s","1","109247.5","2750884.5","3","14","2","5","0","1","0.0335840795109333","-0.476691729323308"
"11","bozo","guy","89","guy.n.01","1850","n","HW","an informal term for a youth or man","4","['guy', 'cat', 'hombre', 'bozo']","n","1","271714","86.5","1","2","2","2",NA,NA,NA,NA
"12","brave","gay","73","brave.s.03","1950","adj","HW","brightly colored and showy","3","['brave', 'braw', 'gay']","s","-1","312219","107289.5","5","6","3","1","1","0","0.284756979865294","-0.6"
"13","braw","gay","74","brave.s.03","1950","adj","HW","brightly colored and showy","3","['brave', 'braw', 'gay']","s","-1","312219","330","5","1","3","1",NA,NA,NA,NA
"14","calamitous","fatal","68","black.s.06","1800","adj","HW","of events having extremely unfortunate or dire consequences bringing ruin","5","['black', 'calamitous', 'disastrous', 'fatal', 'fateful']","s","1","109247.5","2226","3","1","2","1","0","1","0.000882106992984634","-0.747058823529412"
"15","call_up","call","44","call.v.03","1890","v","HW","get or try to get into communication with someone by telephone","5","['call', 'telephone', 'call_up', 'phone', 'ring']","v","1","2499700",NA,"16","3","20","2",NA,NA,NA,NA
"16","cat","guy","87","guy.n.01","1850","n","HW","an informal term for a youth or man","4","['guy', 'cat', 'hombre', 'bozo']","n","1","271714","241211.5","1","2","2","5","1","1","0.00176986864214427","0.735714285714286"
"17","cheery","gay","75","cheery.s.01","1950","adj","HW","bright and pleasant promoting a feeling of cheer","3","['cheery', 'gay', 'sunny']","s","-1","312219","3117.5","2","1","3","1",NA,NA,NA,NA
"18","dainty","nice","103","dainty.s.04","1890","adj","HW","excessively fastidious and easily disgusted","5","['dainty', 'nice', 'overnice', 'prissy', 'squeamish']","s","-1","494997.5","4077","5","5","2","2","1","1","0.0112049672535921","-0.727272727272727"
"19","decent","nice","107","decent.s.01","1890","adj","HW","socially or conventionally correct refined or virtuous","2","['decent', 'nice']","s","-1","494997.5","80667.5","3","1","2","2","0","1","0.0466957093540989","0.609090909090909"
"20","dire","awful","12","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","36615.5","2","2","2","2","0","0","0.229741032171045","-0.281203007518797"
"21","direful","awful","13","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","688","2","1","2","1","0","0","0.117306803014238","-0.5"
"22","disastrous","fatal","69","black.s.06","1800","adj","HW","of events having extremely unfortunate or dire consequences bringing ruin","5","['black', 'calamitous', 'disastrous', 'fatal', 'fateful']","s","1","109247.5","42195.5","3","1","2","1","1","0","0.348973754302146","0.221052631578947"
"23","disc","record","113","phonograph_record.n.01","1920","n","HW","sound recording consisting of a disk with a continuous groove used to reproduce music by rotating while a phonograph needle tracks in the groove","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5","69069.5","2","1","6","4","1","1","0.00653001725471527","0.857142857142857"
"24","disk","record","112","phonograph_record.n.01","1920","n","HW","sound recording consisting of a disk with a continuous groove used to reproduce music by rotating while a phonograph needle tracks in the groove","6","['phonograph_record', 'phonograph_recording', 'record', 'disk', 'disc', 'platter']","n","1","1290094.5","358551.5","2","3","6","2","1","1","0.0280049391530718","0.761904761904762"
"25","dread","awful","14","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","45401","2","3","2","1","1","1","0.00017540444660487","0.742857142857143"
"26","dreaded","awful","15","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","19008","2","2","2","1","1","1","2.52205748715756e-06","0.846616541353383"
"27","dreadful","awful","7","atrocious.s.02","1800","adj","HW","exceptionally bad or displeasing","7","['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s","1","93562.5","45108","1","2","2","3","1","1","3.29187272800429e-05","0.790977443609023"
"28","dreadful","awful","16","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","45108","2","1","2","3","1","1","3.29187272800429e-05","0.790977443609023"
"29","fateful","fatal","70","black.s.06","1800","adj","HW","of events having extremely unfortunate or dire consequences bringing ruin","5","['black', 'calamitous', 'disastrous', 'fatal', 'fateful']","s","1","109247.5","7626","3","3","2","4","1","0","0.537220935211323","0.209090909090909"
"30","fateful","fatal","71","fatal.s.04","1800","adj","HW","controlled or decreed by fate predetermined","2","['fatal', 'fateful']","s","-1","109247.5","7626","4","4","2","4","0","0","0.537220935211323","0.209090909090909"
"31","fearful","awful","17","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","44763","2","2","2","2","1","0","0.860094901514579","0.0421052631578947"
"32","fearsome","awful","18","awful.s.02","1800","adj","HW","causing fear or dread or terror","12","['awful', 'dire', 'direful', 'dread', 'dreaded', 'dreadful', 'fearful', 'fearsome', 'frightening', 'horrendous', 'horrific', 'terrible']","s","1","93562.5","1168","2","1","2","1",NA,NA,NA,NA
