"","target","ref","t","gold","pos","correct","sig","p","corr"
"1","gay","homosexual","1950","1","adj","1","1","0.0373860734684988","0.9"
"2","gay","lesbian","1950","1","adj",NA,NA,NA,NA
"3","gay","happy","1950","-1","adj","1","0","0.391002218955771","-0.5"
"4","gay","showy","1950","-1","adj","1","1","0.0373860734684987","-0.9"
"5","fatal","illness","1800","1","adj","1","1","0.0419543116093354","0.458646616541353"
"6","fatal","lethal","1800","1","adj","1","1","0.00962792472537981","0.8"
"7","fatal","fate","1800","-1","adj","1","1","0.000371140933666735","-0.717293233082707"
"8","fatal","inevitable","1800","-1","adj","1","1","5.52237280357421e-06","-0.831578947368421"
"9","awful","disgusting","1800","1","adj","1","0","0.0644880751289705","0.421052631578947"
"10","awful","mess","1800","1","adj","1","1","1.70664316200925e-10","0.956140350877193"
"11","awful","impressive","1800","-1","adj","1","1","7.94655130993449e-06","-0.82406015037594"
"12","awful","majestic","1800","-1","adj","1","1","0.00187364396674566","-0.651127819548872"
"13","nice","pleasant","1890","1","adj","1","1","0.0164709788365144","0.7"
"14","nice","lovely","1890","1","adj","1","1","6.66145194135566e-05","0.918181818181818"
"15","nice","refined","1890","-1","adj","1","1","0.00255858019971392","-0.809090909090909"
"16","nice","dainty","1890","-1","adj","1","1","0.0112049672535921","-0.727272727272727"
"17","broadcast","transmit","1920","1","v","1","0","0.20703125","0.5"
"18","broadcast","radio","1920","1","v","1","1","0.0101755401234568","0.833333333333333"
"19","broadcast","scatter","1920","-1","v","1","1","0.0101755401234567","-0.833333333333333"
"20","broadcast","seed","1920","-1","v","1","1","3.3143960262001e-05","-0.976190476190476"
"21","monitor","display","1930","1","n","1","1","0.00251947240379473","0.928571428571428"
"22","monitor","screen","1930","1","n","1","1","1.41108899146107e-39","1"
"23","record","tape","1920","1","n","1","1","0.0280049391530718","0.761904761904762"
"24","record","album","1920","1","n","1","1","0.00200827550542945","0.904761904761905"
"25","guy","fellow","1850","1","n","1","1","0.000907310111684976","0.764285714285714"
"26","guy","man","1850","1","n","1","1","1.42476769476457e-07","0.942857142857143"
"27","call","phone","1890","1","v","1","1","0.000204472406148833","0.915151515151515"
"28","call","message","1890","1","v","1","1","0.000105593376303609","0.909090909090909"
