"","target","synset","t","correct_by_maxcorr","correct_by_minp","correct_by_majorityvote","correct_by_avg"
"give_birth.v.01.bear.1850.-1",bear,give_birth.v.01,1850,0,0,1,1
"crouch.v.01.bend.1850.-1",bend,crouch.v.01,1850,1,1,1,1
"restrict.v.03.bound.1850.-1",bound,restrict.v.03,1850,1,1,1,1
"hotheaded.s.02.brainish.1850.-1",brainish,hotheaded.s.02,1850,NA,NA,NA,NA
"grind.v.05.bray.1850.-1",bray,grind.v.05,1850,NA,NA,NA,NA
"butcher.v.01.butcher.1850.-1",butcher,butcher.v.01,1850,NA,NA,NA,NA
"shout.v.02.call.1850.-1",call,shout.v.02,1850,0,0,0,0
"vomit.v.01.cast.1850.-1",cast,vomit.v.01,1850,0,1,1,1
"capture.v.02.catch.1850.-1",catch,capture.v.02,1850,0,0,0,0
"bevel.v.01.chamfer.1850.-1",chamfer,bevel.v.01,1850,NA,NA,NA,NA
"tinkle.v.01.chink.1850.-1",chink,tinkle.v.01,1850,1,1,1,NA
"besiege.v.01.circumvent.1850.-1",circumvent,besiege.v.01,1850,NA,NA,NA,NA
"agitate.v.02.commove.1850.-1",commove,agitate.v.02,1850,NA,NA,NA,NA
"lead.v.01.conduct.1850.-1",conduct,lead.v.01,1850,1,1,1,1
"corporate.s.04.corporate.1850.-1",corporate,corporate.s.04,1850,NA,NA,NA,NA
"run.v.06.course.1850.-1",course,run.v.06,1850,0,0,0,0
"disassociate.v.01.disjoint.1850.-1",disjoint,disassociate.v.01,1850,NA,NA,NA,NA
"disjoin.v.01.disjoint.1850.-1",disjoint,disjoin.v.01,1850,NA,NA,NA,NA
"disjoin.v.02.disjoint.1850.-1",disjoint,disjoin.v.02,1850,NA,NA,NA,NA
"disposed.s.01.fain.1850.-1",fain,disposed.s.01,1850,0,1,1,1
"connect.v.03.join.1850.-1",join,connect.v.03,1850,1,1,1,0
"last.r.02.last.1850.-1",last,last.r.02,1850,0,0,0,0
"ripe.a.01.mature.1850.-1",mature,ripe.a.01,1850,NA,NA,NA,NA
"anoint.v.02.oil.1850.-1",oil,anoint.v.02,1850,NA,NA,NA,NA
"travel_by.v.01.pass.1850.-1",pass,travel_by.v.01,1850,NA,NA,NA,NA
"profess.v.07.pretend.1850.-1",pretend,profess.v.07,1850,NA,NA,NA,NA
"prolong.v.01.protract.1850.-1",protract,prolong.v.01,1850,NA,NA,NA,NA
"vomit.v.01.regorge.1850.-1",regorge,vomit.v.01,1850,NA,NA,NA,NA
"plunder.v.03.rifle.1850.-1",rifle,plunder.v.03,1850,1,1,1,1
"self-denying.s.01.self-giving.1850.-1",self-giving,self-denying.s.01,1850,NA,NA,NA,NA
"squat.v.01.squat.1850.-1",squat,squat.v.01,1850,NA,NA,NA,NA
"weave.v.02.tissue.1850.-1",tissue,weave.v.02,1850,NA,NA,NA,NA
"flash.v.01.twinkle.1850.-1",twinkle,flash.v.01,1850,0,1,0,1
"anoint.v.02.anele.1852.-1",anele,anoint.v.02,1852,NA,NA,NA,NA
"affirm.v.02.aver.1852.-1",aver,affirm.v.02,1852,NA,NA,NA,NA
"dirty.v.01.begrime.1852.-1",begrime,dirty.v.01,1852,NA,NA,NA,NA
"elude.v.01.bilk.1852.-1",bilk,elude.v.01,1852,NA,NA,NA,NA
"boisterous.s.03.boisterous.1852.-1",boisterous,boisterous.s.03,1852,NA,NA,NA,NA
"coaxingly.r.01.cajolingly.1852.-1",cajolingly,coaxingly.r.01,1852,NA,NA,NA,NA
"causeless.s.02.causeless.1852.-1",causeless,causeless.s.02,1852,NA,NA,NA,NA
"cernuous.s.01.cernuous.1852.-1",cernuous,cernuous.s.01,1852,NA,NA,NA,NA
"changeable.a.02.changeful.1852.-1",changeful,changeable.a.02,1852,NA,NA,NA,NA
"company.v.01.companion.1852.-1",companion,company.v.01,1852,0,0,0,0
"conducive.s.01.contributory.1852.-1",contributory,conducive.s.01,1852,NA,NA,NA,NA
"unrefined.a.01.crude.1852.-1",crude,unrefined.a.01,1852,NA,NA,NA,NA
"specify.v.03.delimit.1852.-1",delimit,specify.v.03,1852,NA,NA,NA,NA
"despiteful.s.01.despiteful.1852.-1",despiteful,despiteful.s.01,1852,NA,NA,NA,NA
"disgusting.s.01.disgustful.1852.-1",disgustful,disgusting.s.01,1852,NA,NA,NA,NA
"digress.v.01.divagate.1852.-1",divagate,digress.v.01,1852,NA,NA,NA,NA
"branch.v.02.furcate.1852.-1",furcate,branch.v.02,1852,NA,NA,NA,NA
"dense.s.01.heavy.1852.-1",heavy,dense.s.01,1852,0,0,0,1
"immediately.r.01.instantly.1852.-1",instantly,immediately.r.01,1852,0,1,0,0
"devilish.s.01.mephistophelian.1852.-1",mephistophelian,devilish.s.01,1852,NA,NA,NA,NA
"game.s.02.mettlesome.1852.-1",mettlesome,game.s.02,1852,NA,NA,NA,NA
"precede.v.05.preface.1852.-1",preface,precede.v.05,1852,1,1,1,NA
"precede.v.05.premise.1852.-1",premise,precede.v.05,1852,NA,NA,NA,NA
"domesticate.v.02.reclaim.1852.-1",reclaim,domesticate.v.02,1852,NA,NA,NA,NA
"adjourn.v.02.retire.1852.-1",retire,adjourn.v.02,1852,1,1,1,NA
"retire.v.02.retire.1852.-1",retire,retire.v.02,1852,NA,NA,NA,NA
"retire.v.08.retire.1852.-1",retire,retire.v.08,1852,NA,NA,NA,NA
"withdraw.v.01.retire.1852.-1",retire,withdraw.v.01,1852,1,1,1,1
"satiate.v.01.satiate.1852.-1",satiate,satiate.v.01,1852,NA,NA,NA,NA
"snap.v.03.snap.1852.-1",snap,snap.v.03,1852,NA,NA,NA,NA
"snap.v.06.snap.1852.-1",snap,snap.v.06,1852,NA,NA,NA,NA
"inappropriate.s.02.unfitting.1852.-1",unfitting,inappropriate.s.02,1852,NA,NA,NA,NA
"recognize.v.02.agnize.1854.-1",agnize,recognize.v.02,1854,NA,NA,NA,NA
"achieve.v.01.attain.1854.-1",attain,achieve.v.01,1854,0,0,0,0
"reach.v.01.attain.1854.-1",attain,reach.v.01,1854,0,1,1,1
"reach.v.02.attain.1854.-1",attain,reach.v.02,1854,0,1,0,1
"bearable.s.01.bearable.1854.-1",bearable,bearable.s.01,1854,NA,NA,NA,NA
"deplore.v.02.bemoan.1854.-1",bemoan,deplore.v.02,1854,NA,NA,NA,NA
"bodied.s.02.bodied.1854.-1",bodied,bodied.s.02,1854,NA,NA,NA,NA
"crouch.v.01.bow.1854.-1",bow,crouch.v.01,1854,1,1,1,1
"carry.v.02.carry.1854.-1",carry,carry.v.02,1854,1,1,1,1
"behave.v.02.conduct.1854.-1",conduct,behave.v.02,1854,0,1,1,0
"crouch.v.01.crouch.1854.-1",crouch,crouch.v.01,1854,NA,NA,NA,NA
"dig.v.01.delve.1854.-1",delve,dig.v.01,1854,NA,NA,NA,NA
"attest.v.01.demonstrate.1854.-1",demonstrate,attest.v.01,1854,0,0,0,0
"blue.s.08.disconsolate.1854.-1",disconsolate,blue.s.08,1854,NA,NA,NA,NA
"dulcet.s.02.dulcet.1854.-1",dulcet,dulcet.s.02,1854,NA,NA,NA,NA
"gild.v.01.engild.1854.-1",engild,gild.v.01,1854,NA,NA,NA,NA
"surround.v.01.environ.1854.-1",environ,surround.v.01,1854,NA,NA,NA,NA
