"","ref","target","X","synset","t","pos","prov","syn_def","synset_size","synset_words","wn_pos","gold","freq.x","freq.y","target_centrality","ref_centrality","polysemy_target","polysemy_ref","correct","sig","p","corr"
"1","abominable","awful","6","atrocious.s.02","1800","adj","HW","exceptionally bad or displeasing","7","['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s","1","93562.5","6940.5","1","2","2","2","1","0","0.46003032896572","0.283333333333333"
"2","air","broadcast","27","air.v.03","1920","v","HW","broadcast over the airwaves as in radio or television","5","['air', 'send', 'broadcast', 'beam', 'transmit']","v","1","87800.5","2810822.5","3","12","2","7",NA,NA,NA,NA
"3","amazing","awful","1","amazing.s.02","1800","adj","HW","inspiring awe or admiration or wonder","5","['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s","-1","93562.5","59999","6","4","2","2","0","0","0.433440737611615","0.263636363636364"
"4","atrocious","awful","5","atrocious.s.02","1800","adj","HW","exceptionally bad or displeasing","7","['atrocious', 'abominable', 'awful', 'dreadful', 'painful', 'terrible', 'unspeakable']","s","1","93562.5","4477","1","2","2","3",NA,NA,NA,NA
"5","awe-inspiring","awful","2","amazing.s.02","1800","adj","HW","inspiring awe or admiration or wonder","5","['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s","-1","93562.5",NA,"6","1","2","1",NA,NA,NA,NA
"6","awed","awful","11","awed.s.01","1800","adj","HW","inspired by a feeling of fearful wonderment or reverence","2","['awed', 'awful']","s","-1","93562.5","7295","4","2","2","1","1","0","0.871743440233237","-0.0857142857142857"
"7","awesome","awful","3","amazing.s.02","1800","adj","HW","inspiring awe or admiration or wonder","5","['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s","-1","93562.5","7760","6","1","2","1",NA,NA,NA,NA
"8","awing","awful","4","amazing.s.02","1800","adj","HW","inspiring awe or admiration or wonder","5","['amazing', 'awe-inspiring', 'awesome', 'awful', 'awing']","s","-1","93562.5","60","6","2","2","1",NA,NA,NA,NA
"9","beam","broadcast","29","air.v.03","1920","v","HW","broadcast over the airwaves as in radio or television","5","['air', 'send', 'broadcast', 'beam', 'transmit']","v","1","87800.5","325178","3","11","2","6",NA,NA,NA,NA
"10","black","fatal","67","black.s.06","1800","adj","HW","of events having extremely unfortunate or dire consequences bringing ruin","5","['black', 'calamitous', 'disastrous', 'fatal', 'fateful']","s","1","109247.5","2750884.5","3","14","2","5","1","0","0.0919126286128185","0.42156862745098"
"11","bozo","guy","89","guy.n.01","1850","n","HW","an informal term for a youth or man","4","['guy', 'cat', 'hombre', 'bozo']","n","1","271714","86.5","1","2","2","2",NA,NA,NA,NA
"12","brave","gay","73","brave.s.03","1950","adj","HW","brightly colored and showy","3","['brave', 'braw', 'gay']","s","-1","312219","107289.5","5","6","3","1","1","0","0.872888571569538","-0.1"
"13","braw","gay","74","brave.s.03","1950","adj","HW","brightly colored and showy","3","['brave', 'braw', 'gay']","s","-1","312219","330","5","1","3","1",NA,NA,NA,NA
"14","calamitous","fatal","68","black.s.06","1800","adj","HW","of events having extremely unfortunate or dire consequences bringing ruin","5","['black', 'calamitous', 'disastrous', 'fatal', 'fateful']","s","1","109247.5","2226","3","1","2","1",NA,NA,NA,NA
"15","call_up","call","44","call.v.03","1890","v","HW","get or try to get into communication with someone by telephone","5","['call', 'telephone', 'call_up', 'phone', 'ring']","v","1","2499700",NA,"16","3","20","2",NA,NA,NA,NA
"16","cat","guy","87","guy.n.01","1850","n","HW","an informal term for a youth or man","4","['guy', 'cat', 'hombre', 'bozo']","n","1","271714","241211.5","1","2","2","5","1","0","0.0826509573441751","0.545454545454545"
