"","target","ref","t","gold","pos","correct","sig","p","corr"
"1","gay","homosexual","1950","1","adj",NA,NA,NA,NA
"2","gay","lesbian","1950","1","adj",NA,NA,NA,NA
"3","gay","happy","1950","-1","adj","1","0","0.284756979865294","-0.6"
"4","gay","showy","1950","-1","adj",NA,NA,NA,NA
"5","fatal","illness","1800","1","adj","0","1","0.0134241253978913","-0.602941176470588"
"6","fatal","lethal","1800","1","adj",NA,NA,NA,NA
"7","fatal","fate","1800","-1","adj","1","0","0.416749848551334","-0.21078431372549"
"8","fatal","inevitable","1800","-1","adj","1","1","0.00873031779674932","-0.692307692307692"
"9","awful","disgusting","1800","1","adj","1","0","0.544093294460641","0.314285714285714"
"10","awful","mess","1800","1","adj","1","0","0.0800193759202748","0.524475524475525"
"11","awful","impressive","1800","-1","adj","1","0","0.416774768899138","-0.258741258741259"
"12","awful","majestic","1800","-1","adj","1","0","0.271637540993822","-0.363636363636364"
"13","nice","pleasant","1890","1","adj","0","1","0.018565033381595","-0.690909090909091"
"14","nice","lovely","1890","1","adj","1","1","0.0164709788365144","0.7"
"15","nice","refined","1890","-1","adj","1","1","0.0426455698053267","-0.618181818181818"
"16","nice","dainty","1890","-1","adj","1","0","0.31037609170568","-0.357575757575757"
"17","broadcast","transmit","1920","1","v",NA,NA,NA,NA
"18","broadcast","radio","1920","1","v",NA,NA,NA,NA
"19","broadcast","scatter","1920","-1","v",NA,NA,NA,NA
"20","broadcast","seed","1920","-1","v",NA,NA,NA,NA
"21","monitor","display","1930","1","n",NA,NA,NA,NA
"22","monitor","screen","1930","1","n",NA,NA,NA,NA
"23","record","tape","1920","1","n","1","1","0.0373860734684988","0.9"
"24","record","album","1920","1","n",NA,NA,NA,NA
"25","guy","fellow","1850","1","n","1","1","0.0352869812200623","0.636363636363636"
"26","guy","man","1850","1","n","1","1","0.000159971428068714","0.9"
"27","call","phone","1890","1","v","1","1","0.00526569102916174","0.833333333333333"
"28","call","message","1890","1","v","1","0","0.0604198962156484","0.581818181818182"
